priority,problem summary,assignment group,current status,title,business impact description,reported by,environment,reported date,processed_problem_summary,keyWords
High,"Production database is showing signs of data corruption, potentially impacting critical business operations.",IT Support,Closed,Server Crash,"The server outage has halted essential services, affecting a large user base and causing operational chaos.",User2,Staging,2024-06-18,"['production', 'database', 'showing', 'sign', 'data', 'corruption', 'potentially', 'impacting', 'critical', 'business', 'operation']",production database showing sign data
Critical,"Slow API response times are leading to timeouts, affecting the performance and reliability of services.",Security Team,Closed,API Response Delay,"The data corruption in the production database is affecting the accuracy of critical business data, which could lead to incorrect business decisions and financial discrepancies.",User3,Production,2024-06-21,"['slow', 'api', 'response', 'time', 'leading', 'timeouts', 'affecting', 'performance', 'reliability', 'service']",slow api response time leading
Critical,"The backup process failed to execute properly last night, leaving the system without a reliable recent backup, which is a major risk.",Network Team,Resolved,Login Service Down,"The deployment failure is delaying the release of important new features, which could impact customer satisfaction and competitive advantage.",User5,Staging,2024-06-23,"['backup', 'process', 'failed', 'execute', 'properly', 'last', 'night', 'leaving', 'system', 'without', 'reliable', 'recent', 'backup', 'major', 'risk']",backup process failed execute properly
Critical,"The main login service has gone down, preventing all users from accessing their accounts and halting critical business operations.",IT Support,Pending,Backup Process Failed,"Login issues are preventing users from accessing services, potentially damaging customer trust and leading to lost revenue.",User5,Development,2024-06-25,"['main', 'login', 'service', 'gone', 'preventing', 'user', 'accessing', 'account', 'halting', 'critical', 'business', 'operation']",main login service gone preventing
High,"Unexpected hardware failure has led to a complete crash of the main production server, disrupting all hosted services.",Security Team,Closed,Backup Process Failed,"The ongoing memory leak is threatening to crash the server, which would cause prolonged downtime and disrupt all services relying on this server.",User3,Development,2024-06-27,"['unexpected', 'hardware', 'failure', 'led', 'complete', 'crash', 'main', 'production', 'server', 'disrupting', 'hosted', 'service']",unexpected hardware failure led complete
Critical,"Users are experiencing a significant increase in network latency, particularly during peak business hours, resulting in slow application performance.",Development Team,Closed,Backup Process Failed,"Failed backup has left the system exposed, without a recent recovery point, heightening risk of data loss.",User5,Production,2024-06-29,"['user', 'experiencing', 'significant', 'increase', 'network', 'latency', 'particularly', 'peak', 'business', 'hour', 'resulting', 'slow', 'application', 'performance']",user experiencing significant increase network
High,"Multiple attempts at unauthorized access detected on our server, raising serious security concerns.",Development Team,Open,Database Connection Failure,"The login service downtime is preventing customers from accessing their accounts, leading to frustration and potential loss of business.",User2,Staging,2024-07-01,"['multiple', 'attempt', 'unauthorized', 'access', 'detected', 'server', 'raising', 'serious', 'security', 'concern']",multiple attempt unauthorized access detected
High,"The main login service has gone down, preventing all users from accessing their accounts and halting critical business operations.",Development Team,In Progress,Server Crash,"The detected unauthorized access attempts may indicate a breach, which could expose sensitive company data and result in severe legal and financial repercussions.",User1,Production,2024-07-04,"['main', 'login', 'service', 'gone', 'preventing', 'user', 'accessing', 'account', 'halting', 'critical', 'business', 'operation']",main login service gone preventing
Critical,"Due to misconfigurations in the deployment script, the latest release to production has failed, preventing new features from being deployed.",Network Team,In Progress,Server Crash,"The server crash has caused a total outage of essential services, impacting thousands of users and leading to significant operational and financial losses.",User2,Staging,2024-07-06,"['due', 'misconfigurations', 'deployment', 'script', 'latest', 'release', 'production', 'failed', 'preventing', 'new', 'feature', 'deployed']",due misconfigurations deployment script latest
High,"Users are unable to log in due to the service being down, halting business-critical activities.",Database Admins,Pending,Server Crash,"High network latency is compromising the efficiency of critical business applications, leading to delays in project deliveries and reduced productivity.",User1,Development,2024-07-08,"['user', 'unable', 'log', 'due', 'service', 'halting', 'business', 'critical', 'activity']",user unable log due service
High,"There is evidence of data corruption in the production database, which is affecting the accuracy and reliability of critical business data.",Security Team,In Progress,Login Service Down,"The ongoing memory leak is threatening to crash the server, which would cause prolonged downtime and disrupt all services relying on this server.",User5,Development,2024-07-10,"['evidence', 'data', 'corruption', 'production', 'database', 'affecting', 'accuracy', 'reliability', 'critical', 'business', 'data']",data evidence corruption production database
Critical,"Users are unable to log in due to the service being down, halting business-critical activities.",Development Team,In Progress,Data Corruption Issue,"Blocked feature release due to deployment issues, impacting product delivery schedules and customer expectations.",User5,Development,2024-07-12,"['user', 'unable', 'log', 'due', 'service', 'halting', 'business', 'critical', 'activity']",user unable log due service
Low,"The production database server is unreachable due to a network timeout issue, causing disruptions in data retrieval for all dependent applications.",Security Team,Open,Backup Process Failed,Data corruption in the database could compromise the integrity of business decisions and cause financial errors.,User2,Staging,2024-07-14,"['production', 'database', 'server', 'unreachable', 'due', 'network', 'timeout', 'issue', 'causing', 'disruption', 'data', 'retrieval', 'dependent', 'application']",production database server unreachable due
High,"Failed deployment to production due to script errors, blocking new features from being released.",Network Team,Pending,Server Crash,Data corruption in the database could compromise the integrity of business decisions and cause financial errors.,User3,Production,2024-07-16,"['failed', 'deployment', 'production', 'due', 'script', 'error', 'blocking', 'new', 'feature', 'released']",failed deployment production due script
Medium,"Multiple attempts at unauthorized access detected on our server, raising serious security concerns.",Database Admins,Pending,Application Deployment Failure,"Network issues are slowing down key applications, which could delay project timelines and reduce output.",User1,Production,2024-07-19,"['multiple', 'attempt', 'unauthorized', 'access', 'detected', 'server', 'raising', 'serious', 'security', 'concern']",multiple attempt unauthorized access detected
High,"Failed deployment to production due to script errors, blocking new features from being released.",Security Team,In Progress,Database Connection Failure,"The detected unauthorized access attempts may indicate a breach, which could expose sensitive company data and result in severe legal and financial repercussions.",User1,Development,2024-07-21,"['failed', 'deployment', 'production', 'due', 'script', 'error', 'blocking', 'new', 'feature', 'released']",failed deployment production due script
Medium,"Slow API response times are leading to timeouts, affecting the performance and reliability of services.",Security Team,Pending,Login Service Down,"Slow APIs are causing delays, which could harm service reliability and lead to contractual disputes.",User1,Development,2024-07-23,"['slow', 'api', 'response', 'time', 'leading', 'timeouts', 'affecting', 'performance', 'reliability', 'service']",slow api response time leading
Low,"Several unauthorized access attempts have been flagged on the server, indicating a potential security threat that needs immediate investigation.",Security Team,Closed,Login Service Down,"The detected unauthorized access attempts may indicate a breach, which could expose sensitive company data and result in severe legal and financial repercussions.",User3,Staging,2024-07-25,"['several', 'unauthorized', 'access', 'attempt', 'flagged', 'server', 'indicating', 'potential', 'security', 'threat', 'need', 'immediate', 'investigation']",several unauthorized access attempt flagged
Medium,A sudden server crash due to hardware failure has taken down all key production systems.,Security Team,Resolved,Login Service Down,"Slow APIs are causing delays, which could harm service reliability and lead to contractual disputes.",User5,Staging,2024-07-27,"['sudden', 'server', 'crash', 'due', 'hardware', 'failure', 'taken', 'key', 'production', 'system']",sudden server crash due hardware
Low,"Production database is showing signs of data corruption, potentially impacting critical business operations.",Network Team,Pending,Server Crash,"The detected unauthorized access attempts may indicate a breach, which could expose sensitive company data and result in severe legal and financial repercussions.",User1,Staging,2024-07-29,"['production', 'database', 'showing', 'sign', 'data', 'corruption', 'potentially', 'impacting', 'critical', 'business', 'operation']",production database showing sign data
Critical,"The production database server is unreachable due to a network timeout issue, causing disruptions in data retrieval for all dependent applications.",Security Team,Open,Unauthorized Access Detected,"The data corruption in the production database is affecting the accuracy of critical business data, which could lead to incorrect business decisions and financial discrepancies.",User5,Development,2024-08-01,"['production', 'database', 'server', 'unreachable', 'due', 'network', 'timeout', 'issue', 'causing', 'disruption', 'data', 'retrieval', 'dependent', 'application']",production database server unreachable due
